City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Palpa,PE,2021-03-29 23:27:28,-14.5336,-75.1856,78.73,57,70,6.35
1,Hobart,AU,2021-03-29 23:27:29,-42.8794,147.3294,60.01,55,0,12.66
2,Tuktoyaktuk,CA,2021-03-29 23:27:29,69.4541,-133.0374,-7.6,77,20,17.27
3,Busselton,AU,2021-03-29 23:27:29,-33.65,115.3333,66.99,95,14,5.55
4,Cherskiy,RU,2021-03-29 23:27:30,68.75,161.3,-0.44,93,100,8.66
5,Rikitea,PF,2021-03-29 23:27:30,-23.1203,-134.9692,78.89,70,9,15.35
6,Shelburne,CA,2021-03-29 23:27:30,44.0787,-80.2041,41.0,54,19,1.01
7,Lagoa,PT,2021-03-29 23:27:30,39.05,-27.9833,58.95,81,100,13.18
8,Port Alfred,ZA,2021-03-29 23:27:31,-33.5906,26.891,68.67,88,91,23.02
9,Mehamn,NO,2021-03-29 23:27:31,71.0357,27.8492,30.81,86,25,11.23
10,Geraldton,AU,2021-03-29 23:27:31,-28.7667,114.6,73.4,73,63,6.91
11,Dongkan,CN,2021-03-29 23:27:32,33.9997,119.8308,48.49,54,3,7.43
12,San Quintin,MX,2021-03-29 23:27:32,30.4833,-115.95,64.69,64,100,11.81
13,Yellowknife,CA,2021-03-29 23:23:31,62.456,-114.3525,6.8,43,1,8.05
14,Chushan,CN,2021-03-29 23:27:32,33.2955,113.6528,49.6,62,43,4.32
15,Ushuaia,AR,2021-03-29 23:24:57,-54.8,-68.3,50.0,76,20,4.61
16,Lompoc,US,2021-03-29 23:21:07,34.6391,-120.4579,60.8,63,0,19.57
17,Punta Arenas,CL,2021-03-29 23:27:33,-53.15,-70.9167,48.2,93,75,3.44
18,Puerto Madryn,AR,2021-03-29 23:27:33,-42.7692,-65.0385,63.84,67,7,17.18
19,Warrnambool,AU,2021-03-29 23:27:33,-38.3833,142.4833,54.0,95,95,3.62
20,Avarua,CK,2021-03-29 23:27:34,-21.2078,-159.775,86.0,70,40,13.8
21,Severo-Kurilsk,RU,2021-03-29 23:27:34,50.6789,156.125,35.69,96,100,24.52
22,Chokurdakh,RU,2021-03-29 23:27:34,70.6333,147.9167,-2.79,99,97,5.32
23,Yar-Sale,RU,2021-03-29 23:27:34,66.8333,70.8333,8.62,96,100,7.29
24,Kapaa,US,2021-03-29 23:27:35,22.0752,-159.319,75.2,73,75,14.97
25,Hithadhoo,MV,2021-03-29 23:27:35,-0.6,73.0833,83.57,72,100,24.83
26,Saint-Philippe,RE,2021-03-29 23:27:35,-21.3585,55.7679,77.0,73,0,5.75
27,Mount Gambier,AU,2021-03-29 23:27:35,-37.8333,140.7667,57.2,94,90,1.14
28,Bonavista,CA,2021-03-29 23:27:36,48.6499,-53.1147,39.2,100,100,13.8
29,Caramay,PH,2021-03-29 23:27:36,10.1815,119.236,79.48,84,99,4.41
30,Vaini,TO,2021-03-29 23:27:36,-21.2,-175.2,80.6,89,75,8.05
31,Denpasar,ID,2021-03-29 23:26:07,-8.65,115.2167,78.8,94,40,2.3
32,Mataura,NZ,2021-03-29 23:27:37,-46.1927,168.8643,60.01,91,100,1.01
33,Praia,CV,2021-03-29 23:27:37,14.9215,-23.5087,68.0,77,75,16.11
34,Bredasdorp,ZA,2021-03-29 23:27:38,-34.5322,20.0403,51.8,93,42,3.44
35,Almetyevsk,RU,2021-03-29 23:27:38,54.9044,52.3154,28.45,97,100,4.25
36,Axim,GH,2021-03-29 23:27:38,4.8699,-2.2405,79.05,88,0,6.44
37,Olafsvik,IS,2021-03-29 23:27:39,64.8945,-23.7142,29.68,68,100,14.47
38,Pacific Grove,US,2021-03-29 23:27:39,36.6177,-121.9166,57.2,58,1,13.8
39,Kaitangata,NZ,2021-03-29 23:27:39,-46.2817,169.8464,56.52,92,100,6.6
40,Leningradskiy,RU,2021-03-29 23:27:39,69.3833,178.4167,-0.74,90,100,15.93
41,Palasa,IN,2021-03-29 23:27:40,18.7667,84.4167,75.69,80,29,9.37
42,Roebourne,AU,2021-03-29 23:27:40,-20.7833,117.1333,88.88,42,85,5.06
43,Albany,US,2021-03-29 23:26:29,42.6001,-73.9662,41.0,29,3,10.89
44,Barrow,US,2021-03-29 23:27:40,71.2906,-156.7887,-0.4,65,1,25.32
45,Chuy,UY,2021-03-29 23:27:41,-33.6971,-53.4616,67.23,84,39,16.33
46,Clyde River,CA,2021-03-29 23:27:41,70.4692,-68.5914,-7.6,84,75,11.5
47,Nueva Guinea,NI,2021-03-29 23:27:41,11.6876,-84.4562,80.13,61,18,16.13
48,Bethel,US,2021-03-29 23:27:41,41.3712,-73.414,51.8,24,1,10.36
49,Te Anau,NZ,2021-03-29 23:27:42,-45.4167,167.7167,57.88,70,97,0.6
50,Nikolskoye,RU,2021-03-29 23:27:42,59.7035,30.7861,42.8,75,75,17.9
51,Souillac,MU,2021-03-29 23:27:42,-20.5167,57.5167,73.4,94,20,5.75
52,Huanuco,PE,2021-03-29 23:27:43,-9.9329,-76.2415,64.96,80,100,3.11
53,Fergus Falls,US,2021-03-29 23:27:43,46.283,-96.0776,64.4,39,1,23.02
54,Puerto Ayora,EC,2021-03-29 23:24:37,-0.7393,-90.3518,82.4,78,20,10.36
55,Faanui,PF,2021-03-29 23:27:43,-16.4833,-151.75,82.8,71,60,16.49
56,Erlangen,DE,2021-03-29 23:27:44,49.5897,11.0039,44.01,70,0,6.91
57,East London,ZA,2021-03-29 23:27:44,-33.0153,27.9116,68.74,87,97,17.49
58,Cayenne,GF,2021-03-29 23:27:44,4.9333,-52.3333,81.0,83,75,6.91
59,Bluff,NZ,2021-03-29 23:27:44,-46.6,168.3333,60.01,91,100,1.01
60,Saskylakh,RU,2021-03-29 23:27:45,71.9167,114.0833,-17.01,98,99,6.42
61,Mahebourg,MU,2021-03-29 23:27:45,-20.4081,57.7,73.4,94,20,5.75
62,Belmonte,BR,2021-03-29 23:27:45,-15.8631,-38.8828,78.8,73,0,5.75
63,Coihaique,CL,2021-03-29 23:27:46,-45.5752,-72.0662,66.2,63,0,4.52
64,Nyurba,RU,2021-03-29 23:27:46,63.2842,118.3319,8.58,97,95,2.86
65,Gashua,NG,2021-03-29 23:27:46,12.871,11.0482,75.11,11,1,14.32
66,Tessalit,ML,2021-03-29 23:27:47,20.1986,1.0114,74.12,9,24,11.72
67,Hilo,US,2021-03-29 23:23:20,19.7297,-155.09,78.8,69,40,11.5
68,Port Lincoln,AU,2021-03-29 23:27:47,-34.7333,135.8667,68.0,71,1,5.95
69,Castro,BR,2021-03-29 23:27:47,-24.7911,-50.0119,62.98,93,62,4.68
70,Sengiley,RU,2021-03-29 23:27:48,53.9622,48.7944,15.8,79,64,2.24
71,Ponta Do Sol,PT,2021-03-29 23:27:48,32.6667,-17.1,62.6,72,20,14.97
72,Iskateley,RU,2021-03-29 23:27:48,67.6803,53.1512,33.66,96,100,12.17
73,Arraial Do Cabo,BR,2021-03-29 23:27:49,-22.9661,-42.0278,80.6,78,40,3.44
74,Ulaangom,MN,2021-03-29 23:27:49,49.9811,92.0667,19.15,70,30,6.31
75,Ust-Charyshskaya Pristan,RU,2021-03-29 23:27:49,52.3934,83.6635,25.88,80,98,22.37
76,Magistralnyy,RU,2021-03-29 23:27:49,56.1725,107.4458,27.64,92,100,5.06
77,Pasaco,GT,2021-03-29 23:27:50,13.9772,-90.2064,91.4,35,20,2.3
78,Aklavik,CA,2021-03-29 23:27:50,68.2191,-135.0107,5.0,51,75,8.05
79,Ures,MX,2021-03-29 23:27:50,29.4333,-110.4,91.99,11,100,5.01
80,Manado,ID,2021-03-29 23:26:00,1.487,124.8455,75.2,94,20,1.14
81,Beringovskiy,RU,2021-03-29 23:27:51,63.05,179.3167,13.19,85,100,19.06
82,Tilichiki,RU,2021-03-29 23:27:51,60.4667,166.1,5.47,80,16,5.14
83,Huntingdon,GB,2021-03-29 23:27:51,52.3305,-0.1865,48.99,76,7,1.99
84,Ribeira Grande,PT,2021-03-29 23:27:51,38.5167,-28.7,59.67,78,100,10.33
85,Salacgriva,LV,2021-03-29 23:27:52,57.7536,24.3581,45.0,96,100,5.99
86,Kota Kinabalu,MY,2021-03-29 23:27:52,5.9749,116.0724,78.8,89,20,3.44
87,Bambous Virieux,MU,2021-03-29 23:27:52,-20.3428,57.7575,75.0,94,20,5.75
88,Ojinaga,MX,2021-03-29 23:27:53,29.5667,-104.4167,84.2,15,1,5.75
89,Ermelo,ZA,2021-03-29 23:27:53,-26.5333,29.9833,50.29,93,42,3.09
90,Narsaq,GL,2021-03-29 23:27:53,60.9167,-46.05,23.0,50,75,2.3
91,Tura,IN,2021-03-29 23:27:54,25.5198,90.2201,68.14,67,30,6.85
92,Broken Hill,AU,2021-03-29 23:27:54,-31.95,141.4333,64.4,48,4,6.91
93,Berlevag,NO,2021-03-29 23:27:54,70.8578,29.0864,33.75,82,50,12.17
94,Pisco,PE,2021-03-29 23:27:54,-13.7,-76.2167,71.6,68,0,20.71
95,San Patricio,US,2021-03-29 23:27:55,28.017,-97.5169,66.2,77,90,12.66
96,Bombay,IN,2021-03-29 23:24:50,19.0144,72.8479,80.6,83,70,5.06
97,Nome,US,2021-03-29 23:27:55,64.5011,-165.4064,34.0,100,90,5.75
98,Dikson,RU,2021-03-29 23:27:55,73.5069,80.5464,-28.25,100,39,7.65
99,Atuona,PF,2021-03-29 23:27:56,-9.8,-139.0333,80.51,80,28,18.68
100,Rivera,UY,2021-03-29 23:27:56,-30.9053,-55.5508,63.34,81,80,5.44
101,Campoverde,PE,2021-03-29 23:23:09,-8.4753,-74.8058,77.0,88,75,2.3
102,Union Hidalgo,MX,2021-03-29 23:27:56,16.4723,-94.8295,83.23,56,48,23.78
103,Chumikan,RU,2021-03-29 23:27:57,54.7183,135.315,26.56,95,100,9.42
104,Quelimane,MZ,2021-03-29 23:27:57,-17.8786,36.8883,78.8,78,75,5.75
105,Vestmannaeyjar,IS,2021-03-29 23:27:57,63.4427,-20.2734,33.6,65,99,5.01
106,Vadso,NO,2021-03-29 23:27:58,70.0744,29.7487,35.6,80,75,9.22
107,Saquena,PE,2021-03-29 23:27:58,-4.6667,-73.5167,73.62,98,85,2.77
108,Thessalon,CA,2021-03-29 23:27:58,46.2501,-83.5666,35.6,75,1,12.66
109,Mount Pleasant,US,2021-03-29 23:27:40,32.7941,-79.8626,59.0,51,1,10.27
110,Xinyu,CN,2021-03-29 23:27:59,27.8043,114.9334,69.73,95,89,3.49
111,Khatanga,RU,2021-03-29 23:27:59,71.9667,102.5,-26.39,97,26,11.52
112,Necochea,AR,2021-03-29 23:27:59,-38.5473,-58.7368,57.99,94,20,6.55
113,Kudahuvadhoo,MV,2021-03-29 23:28:00,2.6708,72.8944,82.31,75,100,23.71
114,Georgetown,MY,2021-03-29 23:24:47,5.4112,100.3354,81.0,89,40,3.44
115,Lazaro Cardenas,MX,2021-03-29 23:28:00,17.9583,-102.2,82.76,48,97,9.24
116,Zadar,HR,2021-03-29 23:28:00,44.1197,15.2422,46.4,93,20,4.61
117,Hambantota,LK,2021-03-29 23:28:01,6.1241,81.1185,75.74,83,100,14.07
118,Mar Del Plata,AR,2021-03-29 23:25:33,-38.0023,-57.5575,63.0,82,40,6.91
119,Baykit,RU,2021-03-29 23:28:01,61.67,96.37,2.8,99,79,1.19
120,Sistranda,NO,2021-03-29 23:28:01,63.7256,8.834,44.6,61,40,28.77
121,Male,MV,2021-03-29 23:28:01,4.1748,73.5089,82.4,83,75,6.91
122,Cabedelo,BR,2021-03-29 23:25:08,-6.9811,-34.8339,80.6,94,0,4.61
123,Athabasca,CA,2021-03-29 23:28:02,54.7169,-113.2854,19.4,68,100,18.41
124,Avera,US,2021-03-29 23:28:02,33.194,-82.5271,68.0,37,1,3.44
125,Lebu,CL,2021-03-29 23:28:03,-37.6167,-73.65,56.41,91,9,2.04
126,Antofagasta,CL,2021-03-29 23:28:03,-23.65,-70.4,62.6,77,0,13.8
127,Ofunato,JP,2021-03-29 23:28:03,39.0717,141.7167,51.8,66,97,1.14
128,Thompson,CA,2021-03-29 23:28:04,55.7435,-97.8558,10.4,85,90,23.02
129,Ahipara,NZ,2021-03-29 23:28:04,-35.1667,173.1667,70.79,86,30,9.24
130,Coquimbo,CL,2021-03-29 23:25:45,-29.9533,-71.3436,59.0,82,20,9.22
131,Asau,RO,2021-03-29 23:28:05,46.4333,26.4,37.4,65,6,5.75
132,Porto Seguro,BR,2021-03-29 23:28:05,-16.4497,-39.0647,78.8,73,0,5.75
133,Saint Anthony,US,2021-03-29 23:23:21,45.0205,-93.218,73.4,28,1,26.46
134,Hermanus,ZA,2021-03-29 23:28:05,-34.4187,19.2345,64.0,64,28,2.91
135,Faya,SA,2021-03-29 23:28:06,18.3851,42.4509,60.8,47,0,3.62
136,Alta,NO,2021-03-29 23:28:06,69.9689,23.2717,35.6,75,90,9.22
137,Dubai,AE,2021-03-29 23:28:06,25.2582,55.3047,71.6,78,0,8.05
138,Saldanha,ZA,2021-03-29 23:28:06,-33.0117,17.9442,64.4,88,2,3.44
139,Longyearbyen,SJ,2021-03-29 23:28:07,78.2186,15.6401,24.8,74,40,23.02
140,Husavik,IS,2021-03-29 23:28:07,66.0449,-17.3389,24.8,86,90,4.61
141,Mucuri,BR,2021-03-29 23:27:54,-18.0864,-39.5508,79.3,74,0,12.15
142,Forestville,US,2021-03-29 23:28:07,38.8451,-76.875,57.99,26,1,4.61
143,Nemuro,JP,2021-03-29 23:28:08,43.3236,145.575,40.1,84,53,17.27
144,Contai,IN,2021-03-29 23:28:08,21.7786,87.7536,79.39,84,75,17.18
145,Imbituba,BR,2021-03-29 23:28:08,-28.24,-48.6703,73.4,94,75,2.3
146,Oranjestad,AW,2021-03-29 23:27:39,12.524,-70.027,80.6,78,40,23.02
147,Villerupt,FR,2021-03-29 23:28:09,49.4674,5.9329,51.01,50,0,1.41
148,Carnarvon,AU,2021-03-29 23:28:09,-24.8667,113.6333,78.8,89,72,10.36
149,Qesarya,IL,2021-03-29 23:28:09,32.5189,34.9046,53.01,76,0,4.61
150,Ferrol,ES,2021-03-29 23:25:12,43.4832,-8.2369,57.2,72,0,1.14
151,Jamestown,US,2021-03-29 23:28:10,42.097,-79.2353,41.0,65,1,3.83
152,Rio Grande,BR,2021-03-29 23:26:12,-32.035,-52.0986,66.0,82,30,12.66
153,Qaanaaq,GL,2021-03-29 23:28:10,77.484,-69.3632,-14.57,65,46,7.83
154,Cape Town,ZA,2021-03-29 23:28:11,-33.9258,18.4232,64.0,88,0,8.05
155,Alta Floresta,BR,2021-03-29 23:28:11,-9.8756,-56.0861,73.65,94,38,4.05
156,Klaksvik,FO,2021-03-29 23:28:11,62.2266,-6.589,37.4,81,75,7.87
157,Baiyin,CN,2021-03-29 23:28:11,36.5583,104.2081,55.99,34,96,6.71
158,Camacha,PT,2021-03-29 23:28:12,33.0833,-16.3333,62.6,77,40,14.97
159,Batticaloa,LK,2021-03-29 23:28:12,7.7102,81.6924,77.45,79,57,2.37
160,Pedernales,DO,2021-03-29 23:28:12,18.0384,-71.744,82.38,58,3,17.54
161,Kodiak,US,2021-03-29 23:23:57,57.79,-152.4072,46.4,61,75,11.5
162,Hashtrud,IR,2021-03-29 23:28:13,37.4779,47.0508,38.52,65,1,4.61
163,Kavieng,PG,2021-03-29 23:28:13,-2.5744,150.7967,84.63,70,99,13.15
164,Butaritari,KI,2021-03-29 23:28:13,3.0707,172.7902,81.3,79,24,15.26
165,Norman Wells,CA,2021-03-29 23:28:14,65.282,-126.8329,12.2,44,75,12.66
166,Torbay,CA,2021-03-29 23:28:14,47.6666,-52.7314,37.99,93,90,36.82
167,Pleasanton,US,2021-03-29 23:28:14,37.6624,-121.8747,71.01,35,1,4.61
168,Sorong,ID,2021-03-29 23:24:12,-0.8833,131.25,79.72,82,89,6.17
169,Saint George,US,2021-03-29 23:25:22,37.1041,-113.5841,79.0,8,1,16.11
170,Haines Junction,CA,2021-03-29 23:28:15,60.7522,-137.5108,33.8,40,94,4.61
171,New Norfolk,AU,2021-03-29 23:28:15,-42.7826,147.0587,60.01,63,100,3.76
172,Ust-Ishim,RU,2021-03-29 23:28:15,57.6935,71.1665,1.9,98,60,3.87
173,Airai,TL,2021-03-29 23:28:16,-8.9266,125.4092,60.24,98,100,4.56
174,Carutapera,BR,2021-03-29 23:28:16,-1.195,-46.02,76.05,93,97,6.06
175,Kibakwe,TZ,2021-03-29 23:28:16,-6.7167,36.3667,63.52,96,100,3.24
176,Isla Mujeres,MX,2021-03-29 23:28:17,21.2311,-86.731,82.4,65,40,11.5
177,Bandarbeyla,SO,2021-03-29 23:28:17,9.4942,50.8122,77.58,67,100,7.11
178,Cabo San Lucas,MX,2021-03-29 23:25:06,22.8909,-109.9124,86.0,21,40,3.44
179,Bac Lieu,VN,2021-03-29 23:28:17,9.285,105.7244,78.46,82,33,5.06
180,Constitucion,CL,2021-03-29 23:28:18,-35.3333,-72.4167,55.83,87,31,2.59
181,Gari,RU,2021-03-29 23:28:18,59.4307,62.3497,17.92,95,82,5.3
182,Oranjemund,NA,2021-03-29 23:28:18,-28.55,16.4333,59.59,88,0,2.82
183,Turki,RU,2021-03-29 23:28:18,51.987,43.2731,18.46,95,51,6.46
184,College,US,2021-03-29 23:28:19,64.8569,-147.8028,32.0,69,90,2.77
185,Mazatlan,MX,2021-03-29 23:28:19,23.2167,-106.4167,75.2,60,90,4.61
186,Upernavik,GL,2021-03-29 23:28:19,72.7868,-56.1549,-6.84,76,98,6.73
187,Nago,JP,2021-03-29 23:28:20,26.5881,127.9761,71.6,94,90,8.05
188,Arlit,NE,2021-03-29 23:28:20,18.7369,7.3853,71.08,11,13,8.32
189,Levokumskoye,RU,2021-03-29 23:28:20,44.8219,44.6606,39.54,77,43,5.17
190,Colombo,LK,2021-03-29 23:28:21,6.9319,79.8478,73.4,94,100,4.61
191,Barcelos,PT,2021-03-29 23:28:21,41.5388,-8.6151,60.01,72,0,6.91
192,Tasiilaq,GL,2021-03-29 23:28:21,65.6145,-37.6368,17.6,57,0,7.27
